GAPDH5,RPL13A5,RPL13A2,ACTB1,RPL13A1,GAPDH0,ACTB2,GAPDH4,RPL13A4,ACTB0,RPL13A0,GAPDH3,GAPDH1,ACTB3,GAPDH2,ACTB5,ACTB4,RPL13A3,cell
1,5,1,5,1,0,7,0,0,0,0,2,6,7,8,17,7,3,G3C12E1
1,3,2,2,2,0,4,0,0,0,0,0,1,11,9,18,9,0,H6H11B1
1,2,0,4,0,1,4,0,0,0,0,0,2,6,2,17,6,0,G5B9E1
1,0,0,4,0,0,7,0,0,0,0,4,3,4,10,16,9,3,G3C9A1
0,1,1,3,1,0,7,0,0,0,0,1,3,11,11,17,9,1,A6A7E1
0,0,0,2,0,0,2,0,0,0,0,3,2,13,7,19,8,0,G6B9H1
2,1,0,6,0,1,8,0,0,0,0,2,8,27,12,29,12,1,A1B9B1
2,5,1,2,1,0,4,0,3,0,0,0,1,13,5,20,8,2,E6H11E1
0,0,2,0,0,0,3,0,0,0,0,4,3,10,6,8,10,1,D5G12E1
2,1,2,2,2,0,7,0,0,1,0,1,5,18,16,19,15,1,H3A9H1
1,4,2,5,1,0,6,1,1,0,0,0,3,11,17,22,14,2,A3A12E1
6,2,4,6,3,0,21,13,3,0,1,12,15,18,67,27,12,9,D6A7B1
3,2,1,7,3,0,12,0,4,0,0,3,4,28,6,34,21,6,D3F8A1
7,10,4,13,1,0,10,0,1,0,0,2,9,32,23,53,18,2,D4A8E1
2,0,0,2,1,0,4,0,2,0,0,2,2,11,8,12,3,0,D5B10E1
2,1,1,2,1,0,6,0,0,0,0,1,3,20,15,20,9,2,E4B12E1
3,6,1,6,1,0,8,1,4,0,0,2,6,19,28,25,14,5,D1E9A1
0,2,1,1,2,0,3,0,0,0,0,2,2,10,10,19,7,2,E4D7H1
2,11,5,4,3,0,5,0,3,0,0,3,6,28,20,32,27,6,E2B10H1
3,4,6,3,2,1,9,0,4,0,0,2,4,10,18,21,7,10,H3D10E1
4,0,1,1,2,0,0,1,1,0,0,1,1,8,11,9,3,2,A5A8E1
7,7,2,8,5,0,7,0,3,0,0,2,7,26,23,42,24,3,C1F9H1
0,0,0,1,2,0,9,0,1,0,0,0,1,11,11,13,10,1,G6H10A1
5,0,1,7,0,0,9,0,3,0,0,2,8,16,24,40,24,4,B6E7B1
1,3,1,1,3,0,5,4,1,0,0,1,0,14,10,22,10,2,E5A10E1
1,4,0,5,0,0,10,0,1,0,0,0,2,19,4,18,7,2,C1C10E1
1,5,3,6,1,0,10,2,1,0,0,3,6,19,17,39,14,2,E5F7A1
0,2,2,2,4,0,7,0,1,0,0,4,3,7,8,16,10,3,E1F8A1
8,17,12,8,7,0,23,0,2,1,0,4,15,54,48,86,26,3,E4A8E1
12,20,9,15,6,0,28,0,5,1,0,7,14,63,63,90,50,8,E6D10E1
0,11,5,7,1,0,6,0,4,0,0,1,7,26,15,29,23,1,F6E11E1
4,3,2,8,6,0,8,0,1,1,0,5,2,20,13,14,10,1,G6E9B1
10,4,2,4,4,1,16,0,4,0,0,7,13,25,36,52,18,4,F1F12E1
2,1,1,0,0,0,2,0,1,0,0,1,2,6,9,16,7,1,A3D11E1
0,1,0,3,1,1,1,0,1,0,0,2,1,13,6,10,5,3,F5E8B1
2,4,5,3,0,0,6,0,3,0,0,0,8,21,20,41,13,6,D5A9A1
0,7,3,5,0,0,8,0,4,0,0,5,5,42,30,51,21,1,H2D11E1
3,3,0,4,0,0,15,0,3,0,0,1,11,23,22,30,21,6,A3F10H1
6,4,3,11,1,0,15,0,2,2,2,2,9,37,21,44,36,4,C3A11E1
2,3,5,3,2,0,9,0,3,0,0,6,7,14,27,31,10,2,H4E7A1
3,2,1,2,1,0,15,0,1,0,0,1,6,23,20,44,7,1,B1B8A1
1,4,1,1,0,0,2,0,1,0,0,0,2,10,6,13,6,1,A2G10A1
1,2,0,2,0,0,7,0,2,0,0,0,0,13,1,14,8,0,C6A8A1
5,0,0,3,3,0,2,0,3,1,0,3,2,10,6,16,6,2,F6B9E1
4,4,3,1,1,0,6,0,1,0,0,4,7,7,16,7,8,0,C1G9D1
0,2,3,7,2,0,13,1,2,0,0,0,1,18,6,32,13,1,G3A10E1
1,3,4,5,1,0,4,1,1,0,0,1,3,19,8,18,8,3,F3G10H1
2,3,3,1,2,0,2,0,1,0,0,0,3,4,17,10,7,4,H3F11D1
5,4,4,18,4,0,26,2,4,0,0,2,9,45,42,93,40,8,F4D8B1
3,4,4,3,1,0,7,0,3,0,0,0,2,8,23,28,16,3,F4D7A1
3,1,0,2,0,0,9,0,0,0,0,0,4,11,14,15,3,0,H3F11H1
2,1,1,3,1,0,9,1,2,0,0,1,3,17,10,19,13,1,F4A7B1
3,3,1,1,1,0,4,0,1,0,0,0,1,5,8,13,4,0,G1F9E1
4,3,1,9,2,0,21,0,2,0,0,5,1,46,32,67,16,5,H2B8E1
5,15,1,7,3,0,18,0,6,0,0,7,8,53,41,73,29,12,G6G9E1
4,1,3,3,1,0,4,0,0,0,0,1,1,7,2,14,5,0,B6A10A1
7,17,3,15,7,0,11,0,4,0,0,6,15,38,38,62,33,9,F6B9B1
0,2,0,1,4,0,3,0,0,0,0,2,2,6,6,8,6,2,D1D10H1
11,1,3,1,0,0,18,1,5,0,0,12,13,25,41,32,8,4,H4F10A1
4,5,5,14,2,0,19,0,3,0,0,2,5,32,16,39,22,1,C4B8E1
5,18,8,19,3,0,25,0,7,0,1,3,12,38,38,53,31,13,E6A7A1
